Country and government office region,Price,Monthly change,Annual change
England,£266742,1.2%,7.6%
Northern Ireland (Quarter 3 - 2020),£143205,1.5%,2.4%
Scotland,£165703,0.9%,8.6%
Wales,£180229,2.0%,7.0%
East Midlands,£208662,0.6%,7.1%
East of England,£302624,-0.3%,4.8%
London,£513997,4.0%,9.7%
North East,£140248,2.6%,8.3%
North West,£180280,0.2%,8.5%
South East,£342271,1.2%,6.2%
South West,£278391,1.1%,8.5%
West Midlands Region,£213974,1.0%,6.9%
Yorkshire and The Humber,£180856,1.9%,9.7%
